Site Name,Site,HR_age,Compost,Crops,Cover_Crop,Fallow,Soil_Type,Treatment,Location,Upper_Depth,Lower_Depth,Length,soil,sand,silt,clay,silt_clay,BD,pH,per_N,per_C,N_Mg_ha,C_Mg_ha,CN_ratio,log_N,log_C,profileC,POXc,EOC,EON,MBC,MBN,MB_CN_ratio,glucam,glucos,cell, GWC,Infiltration_Dry,Infiltration_Wet,SH_15,SSH_30,Macroagg,Microagg,Total_Agg
Muller Y,1,20,0,tomato,0,0,1,H,1,0,10,10,Yolo,14.25,59,26.75,85.75,1.115572053,6.2,0.185752894,2.11160227,2.072207373,23.55644479,11.3678028,0.316433215,1.372109746,91.09400586,988.83,25.6,23.4,87.68477612,27.92650083,3.139841137,0.355376713,1.970133262,0.193758573,0.143465909,17.81,16.68,60,140,14.6,29.1,43.7
Muller Y,1,20,0,tomato,0,0,1,H,2,0,10,10,Yolo,11,62,27,89,1.115572053,6.49,0.27743271,3.146179589,3.09496178,35.09790023,11.34033398,0.49065529,1.545281135,115.1927447,877.29,53.7,22.2,135.4478116,33.68534955,4.020970938,0.447086183,1.857301781,0.423984652,0.101092896,14.34,24.4,20,85,60.9,14.9,75.8
Muller Y,1,20,0,tomato,0,0,1,H,3,0,10,10,Yolo,12.25,59,28.75,87.75,1.115572053,6.25,0.215261282,2.160437154,2.4013947,24.10123311,10.03634809,0.380463548,1.382039263,143.9518679,817.97,32.7,36.4,55.04492688,7.902458867,6.965544244,0.612004057,2.782390046,0.835150684,0.192023634,13.99,40.35,50,100,65.5,14.4,79.9
Muller Y,1,20,4,tomato,0,6,1,R,1,0,10,10,Yolo,16,58,26,84,1.381132742,6.6,0.108659649,1.153345421,1.500733996,15.92923124,10.6142936,0.176303721,1.202194817,70.26019725,632.87,25.0,16.6,67.6953989,18.49451169,3.660296634,0.14189603,0.388168578,0.090936088,0.052151239,NA,198.57,50,150,32.3,29.2,61.5
Muller Y,1,20,4,tomato,0,6,1,R,2,0,10,10,Yolo,14.75,59,26.25,85.25,1.381132742,6.65,0.099473845,0.892568037,1.373865839,12.3275494,8.972891712,0.137944325,1.090876752,61.12316097,602.02,35.2,27.6,58.63127536,18.33142029,3.198403312,0.182413857,0.656825021,0.098465399,0.077540107,NA,178.32,20,100,26.2,25.8,52
Muller Y,1,20,4,tomato,0,6,1,R,3,0,10,10,Yolo,16,59,25,84,1.381132742,6.61,0.081780069,0.770745888,1.129491312,10.64502381,9.424617702,0.052882895,1.027146637,60.98778504,635.25,53.9,27.0,110.5410204,27.6467602,3.998335414,0.153649109,1.18913268,0.151404269,0.130820399,NA,181.58,10,80,35.9,31,66.9
Hrdy Y,2,23,0,wheat,0,0,1,H,1,0,10,10,Yolo,22.25,55.25,22.5,82.75,1.450016413,6.52,0.181859468,1.595540382,2.636992131,23.13559741,8.77347988,0.421108834,1.364280718,118.4213823,495.24,30.9,27.0,108.2820913,49.86910256,2.171326248,0.164304177,1.702292648,0.423871666,0.132127956,10.34,22.71,30,110,31,34.3,65.3
Hrdy Y,2,23,0,wheat,0,0,1,H,2,0,10,10,Yolo,19,54,27,84,1.450016413,7.06,0.141039628,1.398902955,2.045097758,20.28432245,9.918509945,0.310714073,1.307160506,107.3628824,331.50,31.7,28.9,81.14891539,22.96910769,3.532958984,0.595619476,2.736328042,0.614820488,0.108367627,6.29,10.69,25,90,44.1,24.6,68.7
Hrdy Y,2,23,0,wheat,0,0,1,H,3,0,10,10,Yolo,22.25,56.25,21.5,82.75,1.450016413,7.04,0.145838026,1.348671441,2.114675316,19.55595725,9.247735151,0.325243696,1.291279079,110.3165284,710.06,25.3,23.0,77.68298319,22.368,3.472951681,0.335476302,1.138169766,0.429693957,0.148783977,22.11,46.51,50,125,60.5,11.5,72
Hrdy Y,2,23,0,wheat,0,4.5,1,R,1,0,10,10,Yolo,23.5,54.5,22,76.5,1.333737343,6.78,0.092410234,0.886144692,1.232509799,11.81884267,9.58924844,0.090790381,1.072574952,102.6319431,584.14,16.0,10.3,67.52764444,26.46986667,2.551113887,0.309642495,0.764223596,0.138152593,0.092741935,27.93,158.12,20,150,16,29.7,45.7
Hrdy Y,2,23,0,wheat,0,4.5,1,R,2,0,10,10,Yolo,27.25,47.75,25,72.75,1.333737343,6.74,0.097876417,0.960386514,1.305414328,12.80903357,9.812236083,0.115748375,1.107516364,86.55971926,394.06,22.8,13.5,56.56226387,18.39185157,3.075398017,0.29258151,0.732918835,0.131732371,0.094979647,56.41,311.45,20,250,19,32.1,51.1
Hrdy Y,2,23,0,wheat,0,4.5,1,R,3,0,10,10,Yolo,27.25,46.5,26.25,72.75,1.333737343,7.01,0.093501915,0.849359126,1.24706995,11.32821985,9.083868828,0.095890814,1.054161669,89.9727581,617.40,17.0,13.6,78.45567901,26.3567284,2.976685036,0.249052891,0.563039827,0.14791776,0.104972376,21.37,57.32,15,165,24.4,32.3,56.7
YO-1,3,10,0,tomato,0,0,1,H,1,0,10,10,Yolo,12,56.5,31.5,88,1.242355377,7.3,0.252379956,3.014572208,3.135455952,37.45169992,11.94457855,0.496300704,1.573471535,159.6527378,841.70,24.1,22.7,135.4177542,35.47178814,3.817618489,0.493537108,2.544993639,0.32217971,0.158345221,2.63,5.54,10,50,66.8,15.4,82.2
YO-1,3,10,0,tomato,0,0,1,H,2,0,10,10,Yolo,18.5,57.75,23.75,81.5,1.242355377,7.02,0.266854134,2.977803193,3.315276684,36.99489809,11.15891722,0.520519779,1.568141835,162.7826562,1086.12,37.6,22.5,206.4956507,69.68645548,2.963210702,0.500906688,2.963023681,0.35796676,0.163323782,1.81,2.5,0,70,50.2,29.1,79.3
