Site,Site Name,HR_age,Compost,Crops,Cover_Crop,Fallow,soil,Soil_Type,Treatment,Location,Upper_Depth,Lower_Depth,Length,sand,silt,clay,silt_clay,BD,pH,per_N,per_C,N_Mg_ha,C_Mg_ha,log_N,log_C,CN_ratio,N_kg_m2,C_kg_m2
1,Muller Y,20,0,tomato,0,0,Yolo,1,H,1,0,10,10,14.25,59,26.75,85.75,1.115572053,6.2,0.185752894,2.11160227,2.072207373,23.55644478,0.316433215,1.372109746,11.3678028,0.207220737,2.355644478
1,Muller Y,20,0,tomato,0,0,Yolo,1,H,1,10,20,10,13.5,65.25,21.25,86.5,1.546600005,6.32,0.093703344,1.051183223,1.44921592,16.25759978,0.161133096,1.211056428,11.21820396,0.144921592,1.625759978
1,Muller Y,20,0,tomato,0,0,Yolo,1,H,1,20,50,30,13.75,57.5,28.75,86.25,1.485204404,6.34,0.054502852,0.519607186,2.428436267,23.15168642,0.38532671,1.364582631,9.533577937,0.242843627,2.315168642
1,Muller Y,20,0,tomato,0,0,Yolo,1,H,1,50,75,25,24.5,54.75,20.75,75.5,1.490998157,6.5,0.051337287,0.45835881,1.913595002,17.08530354,0.281850028,1.232622699,8.928380103,0.1913595,1.708530354
1,Muller Y,20,0,tomato,0,0,Yolo,1,H,1,75,100,25,32.5,48.75,18.75,67.5,1.519076838,6.53,0.037638864,0.290781113,1.429408154,11.04297134,0.155156255,1.043085945,7.725555023,0.142940815,1.104297134
1,Muller Y,20,0,tomato,0,0,Yolo,1,H,2,0,10,10,11,62,27,89,1.115572053,6.49,0.27743271,3.146179589,3.094961779,35.09790022,0.49065529,1.545281135,11.34033398,0.309496178,3.509790022
1,Muller Y,20,0,tomato,0,0,Yolo,1,H,2,10,20,10,12.25,64,23.75,87.75,1.546600005,6.52,0.093679313,0.901179781,1.448844259,13.93764653,0.161021704,1.144189446,9.619837634,0.144884426,1.393764653
1,Muller Y,20,0,tomato,0,0,Yolo,1,H,2,20,50,30,12.25,62.75,25,87.75,1.485204404,6.51,0.064509392,0.585663355,2.87428898,26.0948938,0.45853043,1.416555534,9.078730074,0.287428898,2.60948938
1,Muller Y,20,0,tomato,0,0,Yolo,1,H,2,50,75,25,23.25,54.25,22.5,76.75,1.490998157,6.56,0.061273497,0.531891914,2.283966789,19.82624657,0.358689785,1.297240503,8.680619466,0.228396679,1.982624657
1,Muller Y,20,0,tomato,0,0,Yolo,1,H,2,75,100,25,31.25,55,13.75,68.75,1.519076838,6.63,0.05036394,0.532851454,1.912667364,20.23605754,0.281639447,1.306125906,10.58001926,0.191266736,2.023605754
