,Sample,Sample ID,Sample wt,N response,C response,carbon_in_sample,pct_soc,,
_1_25_2021 8_59_21 PM_030,g8,5,39.21,72.29,1096.45,0.21,0.53,,
_1_25_2021 9_05_21 PM_031,g9,5,34.13,69.89,1023.20,0.19,0.57,,
_1_25_2021 10_11_37 PM_032,g10,5,39.02,72.95,1170.35,0.22,0.57,,
_1_25_2021 10_17_38 PM_033,g11,5,36.95,71.32,943.37,0.18,0.48,,
_1_25_2021 7_41_03 PM_017,f7,19,43.30,197.68,4810.61,0.88,2.03,,
_1_25_2021 7_47_04 PM_018,f8,19,35.45,183.46,4279.86,0.78,2.21,,
_1_25_2021 7_53_06 PM_019,f9,19,40.71,186.89,4374.58,0.80,1.97,,
_1_25_2021 7_59_07 PM_020,f10,19,37.08,182.96,4320.26,0.79,2.13,,
_1_25_2021 8_46_18 AM_203,3D8,37,36.75,372.94,8759.94,1.67,4.53,,
_1_25_2021 8_52_19 AM_204,3D9,37,41.64,421.60,10181.16,1.93,4.65,,
_1_25_2021 8_58_19 AM_205,3D10,37,33.10,355.29,8456.65,1.61,4.86,,
_1_25_2021 9_10_21 AM_207,3D11,37,33.09,323.13,7572.44,1.44,4.35,,
_1_25_2021 8_29_14 PM_025,g3,58,41.19,247.11,6151.26,1.12,2.71,,
_1_25_2021 8_35_15 PM_026,g4,58,50.14,301.96,7568.20,1.37,2.73,,
_1_25_2021 8_47_18 PM_028,g6,58,49.49,278.82,7125.43,1.29,2.60,,
_1_25_2021 8_53_20 PM_029,g7,58,38.49,234.56,5536.24,1.01,2.62,,
_1_25_2021 6_52_54 PM_009,e10,125,30.90,119.99,2770.03,0.52,1.67,,
_1_25_2021 6_58_55 PM_010,e11,125,42.50,138.98,3622.54,0.67,1.57,,
_1_25_2021 7_04_56 PM_011,e12,125,39.36,132.78,3360.50,0.62,1.58,,
_1_25_2021 7_10_57 PM_012,f1,125,37.10,127.72,3092.98,0.57,1.55,,
_1_25_2021 9_16_21 AM_208,3C7,146,35.66,618.86,13539.57,2.59,7.27,,
